cliente_id;nome;cpf;data_nascimento;score_credito;renda_mensal;estado;data_cadastro
1;Sr. Yuri Pimenta;640.325.178-35;1972-07-20;679;5293.74;RJ;2021-02-21
2;Marcela Gonçalves;042.958.376-10;1983-09-21;697;7099.03;PR;2022-05-17
3;Kamilly Cavalcante;031.584.276-80;2003-01-10;591;4493.86;RS;2021-10-13
4;Ana Laura Alves;358.194.076-01;1990-11-21;809;7239.43;RJ;2024-10-17
5;Heloisa Gonçalves;374.652.908-56;1959-03-08;563;5046.56;PE;2021-06-28
6;Vitória da Rosa;094.763.581-57;1995-09-20;564;4046.27;CE;2023-05-15
7;Letícia Cavalcanti;350.462.978-92;1984-12-19;649;3278.72;SP;2021-03-03
8;Gustavo Garcia;156.347.298-82;1984-09-21;413;2741.71;RJ;2022-03-24
9;Vitor Mendonça;472.586.130-80;1974-03-03;498;4298.25;RS;2023-11-01
10;Maria Isis Almeida;475.218.693-46;1991-06-24;511;2675.7;CE;2021-02-24
11;Valentina Albuquerque;389.640.175-01;1958-10-17;795;6134.22;PE;2022-02-12
12;João Vitor Monteiro;301.587.246-07;2005-10-13;628;3599.25;PE;2023-05-10
13;Anthony Gabriel da Mota;964.135.287-37;1993-08-29;554;4542.92;RS;2023-07-09
14;Theo Sousa;582.094.173-04;1974-11-27;481;4223.7;CE;2022-07-24
15;Pedro Melo;897.032.461-50;1972-07-04;547;4084.31;SP;2021-11-23
16;Eloá da Paz;023.658.491-05;2001-04-23;547;6228.28;SC;2022-11-28
17;Alice Martins;017.495.286-49;1976-08-06;618;3886.29;PR;2021-11-15
18;Emanuel Fogaça;731.268.450-53;1971-10-13;718;4523.16;RS;2022-11-21
19;Olívia Castro;150.472.639-16;1961-10-13;645;3200.33;RJ;2021-07-09
20;Maria Alice da Rosa;038.271.569-12;1958-09-28;460;3876.86;SC;2021-07-18
21;Lorena Cirino;826.394.705-74;1991-07-28;708;5835.37;BA;2022-12-06
22;Maria Clara Azevedo;261.309.748-50;1990-02-16;606;4546.9;CE;2022-06-26
23;Enrico Moreira;486.129.305-70;2001-06-04;442;2816.16;SP;2023-07-30
24;Júlia Oliveira;610.795.834-75;2003-08-30;564;5569.12;PE;2021-09-13
25;Lívia Oliveira;138.726.504-08;1985-01-30;661;3524.96;SC;2021-06-11
26;Kevin Macedo;149.825.306-70;1962-09-04;658;4878.92;PE;2022-08-24
27;Sra. Manuella Casa Grande;419.203.857-97;1959-05-14;538;4915.68;CE;2023-01-11
28;Ian Gomes;624.583.091-51;2003-02-13;743;6875.28;CE;2022-01-29
29;Alexandre das Neves;936.807.254-00;2006-07-07;519;3842.79;RJ;2021-04-04
